FID,city_jjk,countrynam,longitude,latitude,mortality
154,BUARCOS,Portugal,-8.874876976010000,40.177291870099999,80.000000000000000
155,CAMINHA,Portugal,-8.837845802310000,41.873207092299999,50.000000000000000
156,COIMBRA,Portugal,-8.410257300000000,40.203314499999998,50.000000000000000
157,FIGUERA-DA-FOZ,Portugal,-8.857583000000000,40.152139800000000,80.000000000000000
158,LISBOA,Portugal,-9.139336600000000,38.722252400000002,50.000000000000000
159,SANTAREM,Portugal,-8.685994400000000,39.236668700000003,66.000000000000000
160,SILVES,Portugal,-8.441207800000001,37.188998699999999,80.000000000000000
161,ALMERIA,Spain,-2.463713600000000,36.834046999999998,50.000000000000000
162,ARANDA-DE-DUERO,Spain,-3.689644000000000,41.673839999999998,50.000000000000000
163,ARJONA,Spain,-4.061769000000000,37.935682000000000,50.000000000000000
164,BAEZA,Spain,-3.469322000000000,37.997945999999999,50.000000000000000
165,BARCELONA,Spain,2.173403500000000,41.385063899999999,36.000000000000000
166,BERJA,Spain,-2.946275000000000,36.848419999999997,50.000000000000000
167,CASTELLON-DE-LA-PLANA,Spain,-0.044949900000000,39.984457900000002,0.000000000000000
168,CORDOBA,Spain,-4.779383500000000,37.888175099999998,50.000000000000000
169,GERONA,Spain,2.821426400000000,41.979400499999997,66.000000000000000
170,GRANADA,Spain,-3.598557100000000,37.177336300000000,30.000000000000000
171,INCA,Spain,2.907547473910000,39.717773437500000,20.000000000000000
172,LERIDA,Spain,0.620014600000000,41.617589899999999,23.000000000000000
173,LUGO,Spain,-7.556758200000000,43.009738400000003,65.000000000000000
174,MADRID,Spain,-3.703790200000000,40.416775399999999,22.500000000000000
175,MANRESA,Spain,1.822515400000000,41.729282599999998,50.000000000000000
176,MURCIA,Spain,-1.130457500000000,37.992331000000000,50.000000000000000
177,PALMA,Spain,2.646634000000000,39.571190000000001,23.000000000000000
178,PAMPLONA,Spain,-1.648265300000000,42.811663099999997,54.000000000000000
179,PUERTOLLANO,Spain,-4.107887744900000,38.688446044899997,93.000000000000000
180,SALVATIERRA,Spain,-2.388784885410000,42.849334716800001,90.000000000000000
181,SAN JOAN,Spain,3.038842916490000,39.595439910899998,13.000000000000000
182,SEU D'URGELL,Spain,1.455552458760000,42.357578277599998,25.500000000000000
183,TARRAGONA,Spain,1.245211900000000,41.119019100000003,50.000000000000000
184,VALENCIA,Spain,-0.376288100000000,39.469907499999998,35.000000000000000
185,VICH,Spain,3.425488000000000,46.131858999999999,70.000000000000000
186,ZARAGOZA,Spain,-0.889581100000000,41.648790800000000,30.000000000000000
187,MALMOE,Sweden,13.003822000000000,55.604981000000002,50.000000000000000
188,STOCKHOLM,Sweden,18.064910000000001,59.328930000000000,50.000000000000000
189,BASEL,Switzerland,7.597550700000000,47.567442200000002,50.000000000000000
190,MARTIGNY,Switzerland,7.075533390050000,46.104980468800001,41.000000000000000
191,MONTHEY,Switzerland,6.946959972380000,46.252185821499999,43.000000000000000
192,SAINT-MAURICE,Switzerland,7.004794597630000,46.214939117400000,35.000000000000000
193,SION,Switzerland,7.366667000000000,46.233333000000002,25.000000000000000
194,ZUERICH,Switzerland,8.539182500000001,47.368649800000000,60.000000000000000
195,ABERDEEN,United Kingdom,-2.094278000000000,57.149717000000003,50.000000000000000
196,ABERGAVENNY,United Kingdom,-3.019423007970000,51.825366973900003,65.000000000000000
197,ANGLESEY,United Kingdom,-4.310577869420000,53.255695342999999,50.000000000000000
198,AYLESBURY,United Kingdom,-0.808399975300000,51.815605163599997,34.259258270300002
199,BATH,United Kingdom,-2.359903900000000,51.375801000000003,44.444442748999997
200,BEDFORD,United Kingdom,-0.466654598713000,52.135971069299998,36.111110687299998
201,BILLINGHAM,United Kingdom,-1.290961027150000,54.612537383999999,44.500000000000000
202,BISHOPS LYNN,United Kingdom,0.423687487841000,52.753631591800001,50.000000000000000
203,BODMIN,United Kingdom,-4.718863010410000,50.471496582000000,37.000000000000000
204,BRIGHTWELL,United Kingdom,-1.158393025400000,51.610420227100001,30.000000000000000
205,BRISTOL,United Kingdom,-2.587910000000000,51.454512999999999,37.500000000000000
206,BURY-ST-EDMUNDS,United Kingdom,0.716356000000000,52.244383900000003,46.296295166000000
207,CADLAND,United Kingdom,-1.380939483640000,50.845935821499999,100.000000000000000
208,CAERNARVON,United Kingdom,-4.273910999300000,53.139549255399999,50.000000000000000
209,CALSTOCK,United Kingdom,-4.202054977420000,50.497001647899999,62.000000000000000
210,CAMBRIDGE,United Kingdom,0.119000000000000,52.204999999999998,40.000000000000000
211,CANTERBURY,United Kingdom,1.078908900000000,51.280233000000003,50.000000000000000
212,CARDIGAN,United Kingdom,-4.660863876340000,52.083702087399999,50.000000000000000
213,CARMARTHEN,United Kingdom,-4.312130928040000,51.857620239299997,50.000000000000000
214,CHARTHAM,United Kingdom,1.020534038540000,51.254943847699998,50.000000000000000
215,CHESTER,United Kingdom,-2.893075000000000,53.193392000000003,34.259258270300002
216,CHESTERFIELD,United Kingdom,-1.421629000000000,53.235047999999999,51.000000000000000
217,CLIMSLAND,United Kingdom,-0.108159400523000,51.506111144999998,42.000000000000000
218,COLCHESTER,United Kingdom,0.891874000000000,51.895927000000000,45.000000000000000
219,COLTISHALL,United Kingdom,1.365350008010000,52.728034973100002,56.000000000000000
220,CORNARD PARVA,United Kingdom,0.769000000000000,52.018000000000001,42.000000000000000
221,COVENTRY,United Kingdom,-1.519693000000000,52.406821999999998,30.000000000000000
222,CROWLAND,United Kingdom,-0.166921406984000,52.676303863500003,50.000000000000000
223,CUXHAM,United Kingdom,-1.037173986430000,51.652530670200001,67.000000000000000
224,DEGANWY,United Kingdom,-3.834995985030000,53.296367645300002,50.000000000000000
225,DERBY,United Kingdom,-1.474618600000000,52.922530100000003,61.111110687299998
226,DOWNTON,United Kingdom,-1.751387953760000,50.994426727300002,66.000000000000000
227,DURHAM,United Kingdom,-1.573300000000000,54.776100000000000,50.000000000000000
228,EDINBURGH,United Kingdom,-3.188267000000000,55.953251999999999,33.000000000000000
229,ELY,United Kingdom,0.262363000000000,52.399538999999997,43.518520355200003
230,EXETER,United Kingdom,-3.533899000000000,50.718412000000001,50.000000000000000
231,FINGRETH,United Kingdom,0.326600000000000,51.689399999999999,50.000000000000000
232,FRODSHAM,United Kingdom,-2.724564313890000,53.296703338599997,30.000000000000000
233,FUNTLEY,United Kingdom,-1.201614737510000,50.870754241900002,100.000000000000000
234,GLASTONBURY,United Kingdom,-2.718453884120000,51.147426605200003,57.000000000000000
235,GLOUCESTER,United Kingdom,-2.238156000000000,51.864244900000003,33.000000000000000
236,GREAT-YARMOUTH,United Kingdom,1.728047000000000,52.598233000000000,70.000000000000000
237,GUILDFORD,United Kingdom,-0.570409000000000,51.236220000000003,51.851852417000003
238,HALESOWEN,United Kingdom,-2.050525903700000,52.449844360400000,42.000000000000000
239,HEREFORD,United Kingdom,-2.715974000000000,52.056398000000002,44.444442748999997
240,HERTFORD,United Kingdom,-0.081156998872800,51.795757293699999,32.407405853299998
241,HIGHAM FERRERS,United Kingdom,-0.592840909958000,52.307373046899997,37.000000000000000
242,HOLYWELL,United Kingdom,-3.225102901460000,53.276008605999998,50.000000000000000
243,HUNTINGDON,United Kingdom,-0.182551994920000,52.331459045400003,34.259258270300002
